File_Name,Sample_ID,Region,Primer,Direction,Raw_Length_bp,Suggested_5p_Cut,Suggested_3p_Cut,Retained_Range,Retained_Length_bp,rCRS_Span_Covered,PolyC_Status,Noise_5p_Reason,Noise_3p_Reason,Sequencher_Guidance
A04_PC-F15971_20260718_113212.ab1,PC,HV1,F15971,Forward,1153,20,361,20 - 361,342,16024 - 16365,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-19, Target rCRS 16024)",Target rCRS 16365 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-19, Trim 3' from 362"
B04_PC-R16410_20260718_113215.ab1,PC,HV1,R16410,Reverse,1067,12,338,12 - 338,327,16024 - 16350,STUTTER_RETAINED_FOR_COMPARISON,"Reverse 5' noise trimmed (Bases 1-11, Q < 20)",Target rCRS 16024 boundary reached | Reverse strand provides high-confidence consensus over Poly-C,"Trim 5' bases 1-11, Trim 3' from 339"
C04_PC-F15_20260718_113218.ab1,PC,HV2_HV3,F15,Forward,599,27,532,27 - 532,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-26, Target rCRS 73)",Target rCRS 576 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-26, Trim 3' from 533"
D04_PC-R639_20260718_113221.ab1,PC,HV2_HV3,R639,Reverse,1128,33,538,33 - 538,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,Reverse primer & 5' noise trimmed (Target rCRS 576),Target rCRS 73 boundary reached | Reverse strand provides high-confidence consensus over Poly-C,"Trim 5' bases 1-32, Trim 3' from 539"
A05_L1-F15971_20260718_113213.ab1,L1,HV1,F15971,Forward,1130,14,355,14 - 355,342,16024 - 16365,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-13, Target rCRS 16024)",Target rCRS 16365 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-13, Trim 3' from 356"
B05_L1-R16410_20260718_113216.ab1,L1,HV1,R16410,Reverse,406,26,352,26 - 352,327,16024 - 16350,NONE,Reverse primer & 5' noise trimmed (Target rCRS 16365),Target rCRS 16024 boundary reached,"Trim 5' bases 1-25, Trim 3' from 353"
C05_L1-F15_20260718_113219.ab1,L1,HV2_HV3,F15,Forward,595,25,530,25 - 530,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-24, Target rCRS 73)",Target rCRS 576 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-24, Trim 3' from 531"
D05_L1-R639_20260718_113222.ab1,L1,HV2_HV3,R639,Reverse,1087,30,535,30 - 535,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,Reverse primer & 5' noise trimmed (Target rCRS 576),Target rCRS 73 boundary reached | Reverse strand provides high-confidence consensus over Poly-C,"Trim 5' bases 1-29, Trim 3' from 536"
A06_BL-F15971_20260718_113214.ab1,BL,HV1,F15971,Forward,1090,362,401,362 - 401,40,16366 - 16405,NONE,"Primer & 5' early noise trimmed (Bases 1-401, Target rCRS 16024)",Target rCRS 16365 boundary reached,"Trim 5' bases 1-361, Trim 3' from 402"
B06_BL-R16410_20260718_113217.ab1,BL,HV1,R16410,Reverse,795,17,352,17 - 352,336,16024 - 16365,NONE,Reverse primer & 5' noise trimmed (Target rCRS 16365),Target rCRS 16024 boundary reached,"Trim 5' bases 1-16, Trim 3' from 353"
C06_BL-F15_20260718_113220.ab1,BL,HV2_HV3,F15,Forward,1015,268,512,268 - 512,245,73 - 318,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-267, Target rCRS 73)",Target rCRS 576 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-267, Trim 3' from 513"
D06_BL-R639_20260718_113223.ab1,BL,HV2_HV3,R639,Reverse,1162,67,523,67 - 523,457,73 - 538,NONE,"Reverse 5' noise trimmed (Bases 1-66, Q < 20)",Target rCRS 73 boundary reached,"Trim 5' bases 1-66, Trim 3' from 524"
F04_NC-R16410_20260718_113227.ab1,NC,HV1,R16410,Reverse,1179,548,995,548 - 995,448,15901 - 16023,NONE,Reverse primer & 5' noise trimmed (Target rCRS 16365),Target rCRS 16024 boundary reached,"Trim 5' bases 1-547, Trim 3' from 996"
G04_NC-F15_20260718_113230.ab1,NC,HV2_HV3,F15,Forward,678,33,339,33 - 339,307,73 - 395,NONE,"Primer & 5' early noise trimmed (Bases 1-32, Target rCRS 73)",Target rCRS 576 boundary reached,"Trim 5' bases 1-32, Trim 3' from 340"
E05_L2-F15971_20260718_113225.ab1,L2,HV1,F15971,Forward,1101,17,358,17 - 358,342,16024 - 16365,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-16, Target rCRS 16024)",Target rCRS 16365 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-16, Trim 3' from 359"
F05_L2-R16410_20260718_113228.ab1,L2,HV1,R16410,Reverse,403,19,349,19 - 349,331,16024 - 16354,NONE,Reverse primer & 5' noise trimmed (Target rCRS 16365),Target rCRS 16024 boundary reached,"Trim 5' bases 1-18, Trim 3' from 350"
G05_L2-F15_20260718_113231.ab1,L2,HV2_HV3,F15,Forward,594,24,529,24 - 529,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,"Primer & 5' early noise trimmed (Bases 1-23, Target rCRS 73)",Target rCRS 576 boundary reached | Poly-C stutter retained for dual-strand comparison,"Trim 5' bases 1-23, Trim 3' from 530"
H05_L2-R639_20260718_113234.ab1,L2,HV2_HV3,R639,Reverse,1128,32,537,32 - 537,506,73 - 576,STUTTER_RETAINED_FOR_COMPARISON,Reverse primer & 5' noise trimmed (Target rCRS 576),Target rCRS 73 boundary reached | Reverse strand provides high-confidence consensus over Poly-C,"Trim 5' bases 1-31, Trim 3' from 538"
